concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.000,0.051,0.000,0.000,7892908,11936,1
medication,0.001,0.021,0.001,0.002,820354,7554,725
laboratory value,0.002,0.007,0.002,0.002,153915,3362,305
fluid balance,0.001,0.007,0.001,0.001,58539,2102,23
respiratory,0.003,0.003,0.003,0.002,13892128,1090,89
hemodynamics,0.000,0.000,0.000,0.000,1385418,544,52
position,0.000,0.000,0.000,0.000,76173,227,2
nice data,0.000,0.000,0.000,0.000,41748,224,51
clinical score,0.000,0.000,0.000,0.000,139217,184,28
infectiology,0.006,0.124,0.006,0.011,50359,170,26
neurology,0.000,0.000,0.000,0.000,296275,166,13
renal replacement therapy,0.000,0.000,0.000,0.000,2362993,144,27
demographics,0.000,0.000,0.000,0.000,5702,120,11
lda,0.000,0.000,0.000,0.000,1832,88,7
admission information,0.000,0.000,0.000,0.000,16463,55,8
sofa score,0.000,0.000,0.000,0.000,87071,24,7
