,overall,relevant,irrelevant
1,0.7880246474256926,0.6429363410437775,0.9273441515529774
2,0.8791625261262478,0.7763674260877658,0.9765464318452833
3,0.903471215713513,0.813587974684563,0.9870056155187528
4,0.9127605375028347,0.8283539711807673,0.9898518222122458
5,0.9186661964697181,0.8372525983774761,0.9919904984841953
6,0.9228538239340282,0.8440847769763984,0.9927409205966335
7,0.9244893379527197,0.8466369693096126,0.9931505048685975
8,0.9261193808980819,0.849145695313103,0.993592819649283
9,0.9271882565744798,0.849959506857601,0.9950062472111205
10,0.9280814327088135,0.851392171614048,0.9951738075328364
