concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
unmapped,0.00040958427196395656,0.09836065573770492,0.00040958427196395656,0.0008157715839564922,9672143,14649,1
medication,0.0007132667617689016,0.0008579201769917503,0.0007132667617689016,0.0006879942234198059,955140,8412,738
laboratory value,0.0056469432850478765,0.06509381678743373,0.0056469432850478765,0.005952510704834948,165947,4073,310
fluid balance,0.001607717041800643,0.012936380339917316,0.001607717041800643,0.0026206599759654426,66795,2488,24
respiratory,0.004217185028993147,0.023509411399118753,0.004217185028993147,0.006734740129909539,13927380,1897,95
hemodynamics,0.0045351473922902496,0.0032229675086817944,0.0045351473922902496,0.0034739675837494265,3130899,882,57
neurology,0.00684931506849315,0.027992852888624183,0.00684931506849315,0.008801029751875843,420712,292,13
position,0.0,0.0,0.0,0.0,93375,280,3
clinical score,0.0,0.0,0.0,0.0,163632,261,28
nice data,0.011627906976744186,0.013953488372093021,0.011627906976744186,0.009535190121641082,49742,258,58
infectiology,0.0,0.0,0.0,0.0,61696,254,29
demographics,0.0,0.0,0.0,0.0,7243,161,11
renal replacement therapy,0.0,0.0,0.0,0.0,2367577,149,28
lda,0.0,0.0,0.0,0.0,2146,96,7
admission information,0.0,0.0,0.0,0.0,16469,57,8
sofa score,0.0,0.0,0.0,0.0,91727,31,12
